id,title,release_date,release_year,runtime,budget,revenue,target_revenue,log_budget,runtime,release_month,log_popularity,vote_average,log_vote_count,cast_count,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music
11780,Rob Roy,1995-04-13,1995.0,139.0,28000000.0,31596911.0,31596911.0,17.147715103853763,139.0,4.0,2.415337630216755,6.5,5.0238805208462765,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
414,Batman Forever,1995-06-16,1995.0,121.0,100000000.0,336529144.0,336529144.0,18.420680753952364,121.0,6.0,2.661751710135265,5.2,7.333023014386481,17,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
5894,Blue in the Face,1995-09-15,1995.0,83.0,2000000.0,1275000.0,1275000.0,14.508658238524095,83.0,9.0,2.527977872896083,6.8,3.367295829986474,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1775,Canadian Bacon,1995-06-08,1995.0,91.0,11000000.0,178104.0,178104.0,16.213405921671733,91.0,6.0,1.8549777442241049,5.9,4.060443010546419,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8839,Casper,1995-05-26,1995.0,100.0,50000000.0,287928194.0,287928194.0,17.72753358339242,100.0,5.0,2.6255768028033972,6.0,6.952728644624869,34,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
20649,Clockers,1995-09-15,1995.0,128.0,25000000.0,13071518.0,13071518.0,17.034386422832473,128.0,9.0,1.7154167968625438,6.8,4.248495242049359,78,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10329,Congo,1995-06-09,1995.0,109.0,50000000.0,152022101.0,152022101.0,17.72753358339242,109.0,6.0,2.1114940766438863,5.0,5.3706380281276624,21,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
8963,Crimson Tide,1995-05-12,1995.0,116.0,53000000.0,157387195.0,157387195.0,17.78580249038432,116.0,5.0,2.267720836687621,7.0,6.2324480165505225,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26564,Crumb,1994-09-10,1994.0,119.0,0.0,3174695.0,3174695.0,0.0,119.0,9.0,1.530478684251282,7.6,4.276666119016055,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8068,Desperado,1995-08-25,1995.0,104.0,7000000.0,25405445.0,25405445.0,15.76142084987672,104.0,8.0,2.0732295370697376,6.8,6.80128303447162,16,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
8512,Devil in a Blue Dress,1995-09-15,1995.0,102.0,27000000.0,16140822.0,16140822.0,17.11134746100564,102.0,9.0,1.7309707089416384,6.3,4.48863636973214,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1572,Die Hard: With a Vengeance,1995-05-19,1995.0,128.0,90000000.0,366101666.0,366101666.0,18.31532023940565,128.0,5.0,2.7812297185657138,6.9,7.647308832356238,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6520,First Knight,1995-07-07,1995.0,134.0,55000000.0,127600435.0,127600435.0,17.822843761378564,134.0,7.0,2.783673186947671,5.9,5.768320995793772,16,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
